"","cf.T0","cf.Tm","Tbreadth","iter"
"1",14.1,28.6,14.5,1
"2",14.9,33.6,18.7,2
"3",13.9,35.7,21.8,3
"4",14.2,33.4,19.2,4
"5",15,34.4,19.4,5
"6",12,35.7,23.7,6
"7",14.8,32.5,17.7,7
"8",18.1,31.3,13.2,8
"9",13.6,29.3,15.7,9
"10",16.2,36.5,20.3,10
"11",13.8,35.2,21.4,11
"12",13.9,35.7,21.8,12
"13",12.1,32.8,20.7,13
"14",14.4,34.5,20.1,14
"15",15.8,31.8,16,15
"16",14.5,28.5,14,16
"17",14.1,33.3,19.2,17
"18",14.3,34.7,20.4,18
"19",14.2,35.9,21.7,19
"20",13.4,30.7,17.3,20
"21",16,34.6,18.6,21
"22",14.5,35.1,20.6,22
"23",11.3,34.3,23,23
"24",14.5,35.1,20.6,24
"25",13.4,34.7,21.3,25
"26",13.6,35.1,21.5,26
"27",14.8,29.9,15.1,27
"28",13.6,33,19.4,28
"29",15.7,35.8,20.1,29
"30",13.9,31.5,17.6,30
"31",12,35.4,23.4,31
"32",11.3,33.7,22.4,32
"33",13.4,33.6,20.2,33
"34",11.9,33.1,21.2,34
"35",14.3,30.1,15.8,35
"36",13.5,34.4,20.9,36
"37",14,34.2,20.2,37
"38",13.5,34.7,21.2,38
"39",14.3,30.4,16.1,39
"40",13.6,35.7,22.1,40
"41",14.5,28,13.5,41
"42",14.4,29.9,15.5,42
"43",14.6,29.4,14.8,43
"44",13.7,34,20.3,44
"45",12.7,36.5,23.8,45
"46",13.8,32.1,18.3,46
"47",15.2,36.5,21.3,47
"48",13.1,35.3,22.2,48
"49",13.5,31.4,17.9,49
"50",14.4,30.8,16.4,50
"51",14,33.8,19.8,51
"52",14.7,35.8,21.1,52
"53",16,26.3,10.3,53
"54",16.3,34.2,17.9,54
"55",14.6,35.2,20.6,55
"56",14.2,35.6,21.4,56
"57",10.5,36.7,26.2,57
"58",15.2,35.8,20.6,58
"59",14.1,35.5,21.4,59
"60",12.5,35.4,22.9,60
"61",14.1,34.6,20.5,61
"62",14.5,31.9,17.4,62
"63",12.2,35.1,22.9,63
"64",15.7,29.6,13.9,64
"65",12.5,29.3,16.8,65
"66",12.3,34.8,22.5,66
"67",16.2,34.9,18.7,67
"68",13.4,34.4,21,68
"69",14.3,32.2,17.9,69
"70",14.4,33.7,19.3,70
"71",15.3,35.1,19.8,71
"72",14.5,34.7,20.2,72
"73",13.7,35.9,22.2,73
"74",13.6,28.6,15,74
"75",16.5,35.1,18.6,75
"76",14.5,34.6,20.1,76
"77",11.4,35.9,24.5,77
"78",16.7,34.3,17.6,78
"79",13.8,35.2,21.4,79
"80",13.4,31.6,18.2,80
"81",14.7,34,19.3,81
"82",10.9,28.2,17.3,82
"83",15.2,34.1,18.9,83
"84",14.2,36.2,22,84
"85",11.4,35.8,24.4,85
