Id,DatasetID,OriginalID,OriginalTraitName,OriginalTraitDef,OriginalTraitValue,OriginalTraitUnit,OriginalErrorPos,OriginalErrorNeg,OriginalErrorUnit,Habitat,LabField,SecondStressorDef,SecondStressorValue,SecondStressorUnit,TimeStart,TimeEnd,Location,LocationType,CoordinateType,Latitude,Longitude,Interactor1,Interactor1Number,Interactor1Kingdom,Interactor1Phylum,Interactor1Class,Interactor1Order,Interactor1Family,Interactor1Genus,Interactor1Species,Interactor1Stage,Interactor1Sex,Interactor1Temp,Interactor1TempUnit,Interactor1DenValue,Interactor1DenUnit,FigureTable,Citation,DOI,CuratedByCitation,CuratedByDOI,SubmittedBy,ContributorEmail,Notes,DefaultChartXaxis,DefaultChartCategory,EmbargoReleaseDate
109652,830,SK031,survival,proportion of individuals surviving life stage (emergence rate),0.044,proportion,,,,terrestrial,laboratory,estimate of total food (yeast) provided per larvae per day,,,2009,2009,Insectary Saint Pierre,colony,decimal,-21.321879,55.501618,Aedes albopictus,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,egg,indeterminate,5.0,Celsius,,egg,table 1,Delatte et al 2009. Influence of Temperature on Immature Development Survival Longevity Fecundity and Gonotrophic Cycles of Aedes albopictus Vector of Chikungunya and Dengue in the Indian Ocean. Journal of Medical Entomology Volume 46 Issue 1,10.1603/033.046.0105,Brass et al. 2024. Role of vector phenotypic plasticity in disease transmission as illustrated by the spread of dengue virus by Aedes albopictus. Nat Commun 15: 7823,10.1038/s41467-024-52144-5,Sarah Kelly,s.kelly@imperial.ac.uk,Aedes albopictus used in this study were obtained from a laboratory colony established for 3 mo from field-collected mosquitoes. The mosquitoes were captured in artificial containers in Saint Pierre La Reunion Island France and kept in an insectarium. The insectarium was maintained under about 27.5 plus minus 1C 80 plus minus 20% RH and a natural photoperiod. Mouse blood meals were offered to mosquitoes twice a week for colony maintenance. Mice were anesthetized with a penthobarbituric before introducing them to the colony rearing and were left for 1h. Mosquitoes of generations F2 and F3 were used for the different experiments.,Interactor1Temp,SecondStressorValue,2019-02-01
109653,830,SK031,survival,proportion of individuals surviving life stage (emergence rate),0.0,proportion,0.1,0.1,SE,terrestrial,laboratory,estimate of total food (yeast) provided per larvae per day,,,2009,2009,Insectary Saint Pierre,colony,decimal,-21.321879,55.501618,Aedes albopictus,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,juvenile (L1 to pupa),indeterminate,5.0,Celsius,,juvenile,table 1,Delatte et al 2009. Influence of Temperature on Immature Development Survival Longevity Fecundity and Gonotrophic Cycles of Aedes albopictus Vector of Chikungunya and Dengue in the Indian Ocean. Journal of Medical Entomology Volume 46 Issue 1,10.1603/033.046.0105,Brass et al. 2024. Role of vector phenotypic plasticity in disease transmission as illustrated by the spread of dengue virus by Aedes albopictus. Nat Commun 15: 7823,10.1038/s41467-024-52144-5,Sarah Kelly,s.kelly@imperial.ac.uk,Aedes albopictus used in this study were obtained from a laboratory colony established for 3 mo from field-collected mosquitoes. The mosquitoes were captured in artificial containers in Saint Pierre La Reunion Island France and kept in an insectarium. The insectarium was maintained under about 27.5 plus minus 1C 80 plus minus 20% RH and a natural photoperiod. Mouse blood meals were offered to mosquitoes twice a week for colony maintenance. Mice were anesthetized with a penthobarbituric before introducing them to the colony rearing and were left for 1h. Mosquitoes of generations F2 and F3 were used for the different experiments.,Interactor1Temp,SecondStressorValue,2019-02-01
109654,830,SK031,survival,proportion of individuals surviving life stage (emergence rate),0.0,proportion,0.01,0.01,SE,terrestrial,laboratory,estimate of total food (yeast) provided per larvae per day,,,2009,2009,Insectary Saint Pierre,colony,decimal,-21.321879,55.501618,Aedes albopictus,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,juvenile (L1 to pupa),indeterminate,5.0,Celsius,,juvenile (L1 to pupa),table 1,Delatte et al 2009. Influence of Temperature on Immature Development Survival Longevity Fecundity and Gonotrophic Cycles of Aedes albopictus Vector of Chikungunya and Dengue in the Indian Ocean. Journal of Medical Entomology Volume 46 Issue 1,10.1603/033.046.0105,Brass et al. 2024. Role of vector phenotypic plasticity in disease transmission as illustrated by the spread of dengue virus by Aedes albopictus. Nat Commun 15: 7823,10.1038/s41467-024-52144-5,Sarah Kelly,s.kelly@imperial.ac.uk,Aedes albopictus used in this study were obtained from a laboratory colony established for 3 mo from field-collected mosquitoes. The mosquitoes were captured in artificial containers in Saint Pierre La Reunion Island France and kept in an insectarium. The insectarium was maintained under about 27.5 plus minus 1C 80 plus minus 20% RH and a natural photoperiod. Mouse blood meals were offered to mosquitoes twice a week for colony maintenance. Mice were anesthetized with a penthobarbituric before introducing them to the colony rearing and were left for 1h. Mosquitoes of generations F2 and F3 were used for the different experiments.,Interactor1Temp,SecondStressorValue,2019-02-01
109655,830,SK031,survival,proportion of individuals surviving life stage (emergence rate),0.04,proportion,,,,terrestrial,laboratory,estimate of total food (yeast) provided per larvae per day,,,2009,2009,Insectary Saint Pierre,colony,decimal,-21.321879,55.501618,Aedes albopictus,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,egg,indeterminate,10.0,Celsius,,egg,table 1,Delatte et al 2009. Influence of Temperature on Immature Development Survival Longevity Fecundity and Gonotrophic Cycles of Aedes albopictus Vector of Chikungunya and Dengue in the Indian Ocean. Journal of Medical Entomology Volume 46 Issue 1,10.1603/033.046.0105,Brass et al. 2024. Role of vector phenotypic plasticity in disease transmission as illustrated by the spread of dengue virus by Aedes albopictus. Nat Commun 15: 7823,10.1038/s41467-024-52144-5,Sarah Kelly,s.kelly@imperial.ac.uk,Aedes albopictus used in this study were obtained from a laboratory colony established for 3 mo from field-collected mosquitoes. The mosquitoes were captured in artificial containers in Saint Pierre La Reunion Island France and kept in an insectarium. The insectarium was maintained under about 27.5 plus minus 1C 80 plus minus 20% RH and a natural photoperiod. Mouse blood meals were offered to mosquitoes twice a week for colony maintenance. Mice were anesthetized with a penthobarbituric before introducing them to the colony rearing and were left for 1h. Mosquitoes of generations F2 and F3 were used for the different experiments.,Interactor1Temp,SecondStressorValue,2019-02-01
109656,830,SK031,survival,proportion of individuals surviving life stage (emergence rate),0.0,proportion,0.1,0.1,SE,terrestrial,laboratory,estimate of total food (yeast) provided per larvae per day,,,2009,2009,Insectary Saint Pierre,colony,decimal,-21.321879,55.501618,Aedes albopictus,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,juvenile (L1 to pupa),indeterminate,10.0,Celsius,,juvenile,table 1,Delatte et al 2009. Influence of Temperature on Immature Development Survival Longevity Fecundity and Gonotrophic Cycles of Aedes albopictus Vector of Chikungunya and Dengue in the Indian Ocean. Journal of Medical Entomology Volume 46 Issue 1,10.1603/033.046.0105,Brass et al. 2024. Role of vector phenotypic plasticity in disease transmission as illustrated by the spread of dengue virus by Aedes albopictus. Nat Commun 15: 7823,10.1038/s41467-024-52144-5,Sarah Kelly,s.kelly@imperial.ac.uk,Aedes albopictus used in this study were obtained from a laboratory colony established for 3 mo from field-collected mosquitoes. The mosquitoes were captured in artificial containers in Saint Pierre La Reunion Island France and kept in an insectarium. The insectarium was maintained under about 27.5 plus minus 1C 80 plus minus 20% RH and a natural photoperiod. Mouse blood meals were offered to mosquitoes twice a week for colony maintenance. Mice were anesthetized with a penthobarbituric before introducing them to the colony rearing and were left for 1h. Mosquitoes of generations F2 and F3 were used for the different experiments.,Interactor1Temp,SecondStressorValue,2019-02-01
109657,830,SK031,survival,proportion of individuals surviving life stage (emergence rate),0.0,proportion,0.01,0.01,SE,terrestrial,laboratory,estimate of total food (yeast) provided per larvae per day,,,2009,2009,Insectary Saint Pierre,colony,decimal,-21.321879,55.501618,Aedes albopictus,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,juvenile (L1 to pupa),indeterminate,10.0,Celsius,,juvenile (L1 to pupa),table 1,Delatte et al 2009. Influence of Temperature on Immature Development Survival Longevity Fecundity and Gonotrophic Cycles of Aedes albopictus Vector of Chikungunya and Dengue in the Indian Ocean. Journal of Medical Entomology Volume 46 Issue 1,10.1603/033.046.0105,Brass et al. 2024. Role of vector phenotypic plasticity in disease transmission as illustrated by the spread of dengue virus by Aedes albopictus. Nat Commun 15: 7823,10.1038/s41467-024-52144-5,Sarah Kelly,s.kelly@imperial.ac.uk,Aedes albopictus used in this study were obtained from a laboratory colony established for 3 mo from field-collected mosquitoes. The mosquitoes were captured in artificial containers in Saint Pierre La Reunion Island France and kept in an insectarium. The insectarium was maintained under about 27.5 plus minus 1C 80 plus minus 20% RH and a natural photoperiod. Mouse blood meals were offered to mosquitoes twice a week for colony maintenance. Mice were anesthetized with a penthobarbituric before introducing them to the colony rearing and were left for 1h. Mosquitoes of generations F2 and F3 were used for the different experiments.,Interactor1Temp,SecondStressorValue,2019-02-01
109660,830,SK031,survival,proportion of individuals surviving life stage (emergence rate),0.082,proportion,0.01,0.01,SE,terrestrial,laboratory,estimate of total food (yeast) provided per larvae per day,0.591821561,mg,2009,2009,Insectary Saint Pierre,colony,decimal,-21.321879,55.501618,Aedes albopictus,40,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,egg,indeterminate,15.0,Celsius,40.0,egg,table 1,Delatte et al 2009. Influence of Temperature on Immature Development Survival Longevity Fecundity and Gonotrophic Cycles of Aedes albopictus Vector of Chikungunya and Dengue in the Indian Ocean. Journal of Medical Entomology Volume 46 Issue 1,10.1603/033.046.0105,Brass et al. 2024. Role of vector phenotypic plasticity in disease transmission as illustrated by the spread of dengue virus by Aedes albopictus. Nat Commun 15: 7823,10.1038/s41467-024-52144-5,Sarah Kelly,s.kelly@imperial.ac.uk,Aedes albopictus used in this study were obtained from a laboratory colony established for 3 mo from field-collected mosquitoes. The mosquitoes were captured in artificial containers in Saint Pierre La Reunion Island France and kept in an insectarium. The insectarium was maintained under about 27.5 plus minus 1C 80 plus minus 20% RH and a natural photoperiod. Mouse blood meals were offered to mosquitoes twice a week for colony maintenance. Mice were anesthetized with a penthobarbituric before introducing them to the colony rearing and were left for 1h. Mosquitoes of generations F2 and F3 were used for the different experiments.,Interactor1Temp,SecondStressorValue,2019-02-01
109662,830,SK031,survival,proportion of individuals surviving life stage (emergence rate),0.6,proportion,,,,terrestrial,laboratory,estimate of total food (yeast) provided per larvae per day,0.591821561,mg,2009,2009,Insectary Saint Pierre,colony,decimal,-21.321879,55.501618,Aedes albopictus,40,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,juvenile (L1 to pupa),indeterminate,15.0,Celsius,40.0,juvenile,table 1,Delatte et al 2009. Influence of Temperature on Immature Development Survival Longevity Fecundity and Gonotrophic Cycles of Aedes albopictus Vector of Chikungunya and Dengue in the Indian Ocean. Journal of Medical Entomology Volume 46 Issue 1,10.1603/033.046.0105,Brass et al. 2024. Role of vector phenotypic plasticity in disease transmission as illustrated by the spread of dengue virus by Aedes albopictus. Nat Commun 15: 7823,10.1038/s41467-024-52144-5,Sarah Kelly,s.kelly@imperial.ac.uk,Aedes albopictus used in this study were obtained from a laboratory colony established for 3 mo from field-collected mosquitoes. The mosquitoes were captured in artificial containers in Saint Pierre La Reunion Island France and kept in an insectarium. The insectarium was maintained under about 27.5 plus minus 1C 80 plus minus 20% RH and a natural photoperiod. Mouse blood meals were offered to mosquitoes twice a week for colony maintenance. Mice were anesthetized with a penthobarbituric before introducing them to the colony rearing and were left for 1h. Mosquitoes of generations F2 and F3 were used for the different experiments.,Interactor1Temp,SecondStressorValue,2019-02-01
109664,830,SK031,survival,proportion of individuals surviving life stage (emergence rate),0.833,proportion,,,,terrestrial,laboratory,estimate of total food (yeast) provided per larvae per day,0.591821561,mg,2009,2009,Insectary Saint Pierre,colony,decimal,-21.321879,55.501618,Aedes albopictus,40,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,pupal,indeterminate,15.0,Celsius,40.0,pupa,table 1,Delatte et al 2009. Influence of Temperature on Immature Development Survival Longevity Fecundity and Gonotrophic Cycles of Aedes albopictus Vector of Chikungunya and Dengue in the Indian Ocean. Journal of Medical Entomology Volume 46 Issue 1,10.1603/033.046.0105,Brass et al. 2024. Role of vector phenotypic plasticity in disease transmission as illustrated by the spread of dengue virus by Aedes albopictus. Nat Commun 15: 7823,10.1038/s41467-024-52144-5,Sarah Kelly,s.kelly@imperial.ac.uk,Aedes albopictus used in this study were obtained from a laboratory colony established for 3 mo from field-collected mosquitoes. The mosquitoes were captured in artificial containers in Saint Pierre La Reunion Island France and kept in an insectarium. The insectarium was maintained under about 27.5 plus minus 1C 80 plus minus 20% RH and a natural photoperiod. Mouse blood meals were offered to mosquitoes twice a week for colony maintenance. Mice were anesthetized with a penthobarbituric before introducing them to the colony rearing and were left for 1h. Mosquitoes of generations F2 and F3 were used for the different experiments.,Interactor1Temp,SecondStressorValue,2019-02-01
109666,830,SK031,survival,proportion of individuals surviving life stage (emergence rate),0.5,proportion,,,,terrestrial,laboratory,estimate of total food (yeast) provided per larvae per day,0.591821561,mg,2009,2009,Insectary Saint Pierre,colony,decimal,-21.321879,55.501618,Aedes albopictus,40,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,juvenile (L1 to pupa),indeterminate,15.0,Celsius,40.0,juvenile (L1 to pupa),table 1,Delatte et al 2009. Influence of Temperature on Immature Development Survival Longevity Fecundity and Gonotrophic Cycles of Aedes albopictus Vector of Chikungunya and Dengue in the Indian Ocean. Journal of Medical Entomology Volume 46 Issue 1,10.1603/033.046.0105,Brass et al. 2024. Role of vector phenotypic plasticity in disease transmission as illustrated by the spread of dengue virus by Aedes albopictus. Nat Commun 15: 7823,10.1038/s41467-024-52144-5,Sarah Kelly,s.kelly@imperial.ac.uk,Aedes albopictus used in this study were obtained from a laboratory colony established for 3 mo from field-collected mosquitoes. The mosquitoes were captured in artificial containers in Saint Pierre La Reunion Island France and kept in an insectarium. The insectarium was maintained under about 27.5 plus minus 1C 80 plus minus 20% RH and a natural photoperiod. Mouse blood meals were offered to mosquitoes twice a week for colony maintenance. Mice were anesthetized with a penthobarbituric before introducing them to the colony rearing and were left for 1h. Mosquitoes of generations F2 and F3 were used for the different experiments.,Interactor1Temp,SecondStressorValue,2019-02-01
