Id,DatasetID,IndividualID,OriginalID,OriginalTraitName,OriginalTraitDef,OriginalTraitValue,OriginalTraitUnit,OriginalErrorPos,OriginalErrorNeg,OriginalErrorUnit,Habitat,LabField,Location,LocationType,LocationDate,LocationDatePrecision,CoordinateType,Latitude,Longitude,Interactor1,Interactor1Common,Interactor1Number,Interactor1Kingdom,Interactor1Phylum,Interactor1Class,Interactor1Order,Interactor1Family,Interactor1Genus,Interactor1Species,Interactor1Stage,Interactor1Sex,Interactor1Temp,Interactor1TempUnit,Interactor1GrowthTemp,Interactor1GrowthTempUnit,FigureTable,Citation,DOI,SubmittedBy,ContributorEmail,Notes,DefaultChartXaxis,DefaultChartCategory,EmbargoReleaseDate
82469,112,,PHX215,gonotrophic cycle,mean duration of gonotrophic cycle,8.1,days,,,,terrestrial,laboratory,Saint-Pierre Reunion Island,field,,0,decimal,-21.3419,55.4778,Aedes albopictus,tiger mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,20,Celsius,27.5,Celsius,table 5,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2009
82470,112,,PHX215,gonotrophic cycle,mean duration of gonotrophic cycle,4.5,days,,,,terrestrial,laboratory,Saint-Pierre Reunion Island,field,,0,decimal,-21.3419,55.4778,Aedes albopictus,tiger mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25,Celsius,27.5,Celsius,table 5,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2009
82471,112,,PHX215,gonotrophic cycle,mean duration of gonotrophic cycle,3.5,days,,,,terrestrial,laboratory,Saint-Pierre Reunion Island,field,,0,decimal,-21.3419,55.4778,Aedes albopictus,tiger mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,30,Celsius,27.5,Celsius,table 5,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2009
82472,112,,PHX215,gonotrophic cycle,mean duration of gonotrophic cycle,4.4,days,,,,terrestrial,laboratory,Saint-Pierre Reunion Island,field,,0,decimal,-21.3419,55.4778,Aedes albopictus,tiger mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,35,Celsius,27.5,Celsius,table 5,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2009
85662,292,,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (1st),4.2,days,0.1,0.1,se,terrestrial,laboratory,Trento Italy,field,01/01/2018,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,20,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25,Celsius,25,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,01/01/2020
85663,292,,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (2nd),4,days,0,0,se,terrestrial,laboratory,Trento Italy,field,01/01/2018,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,20,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25,Celsius,25,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,01/01/2020
85664,292,,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (3rd),3,days,0,0,se,terrestrial,laboratory,Trento Italy,field,01/01/2018,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,20,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25,Celsius,25,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,01/01/2020
85665,292,,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (4th),4,days,0,0,se,terrestrial,laboratory,Trento Italy,field,01/01/2018,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,20,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25,Celsius,25,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,01/01/2020
85666,292,,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (5th),3,days,0,0,se,terrestrial,laboratory,Trento Italy,field,01/01/2018,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,17,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25,Celsius,25,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,01/01/2020
85667,292,,LC41111,gonotrophic cycle,mean duration of gonotrophic cycle (6th),3.6,days,0.2,0.2,se,terrestrial,laboratory,Trento Italy,field,01/01/2018,2,decimal,46.074879,11.1194085,Aedes albopictus,Tiger mosquito,16,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,25,Celsius,25,Celsius,table 4,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,Lauren Chapman,phuxly@gmail.com,cow blood was offered twice a week to each female via Hemotek,Interactor1Temp,LocationText,01/01/2020
